"<DATE>","<CLOSE>"
"3/5/2020","2816.7"
"3/6/2020","2719.51"
"3/10/2020","2498.94"
"3/11/2020","2492.88"
"3/12/2020","2286.4"
"3/13/2020","2316.38"
"3/16/2020","2266.9"
"3/17/2020","2224.74"
"3/18/2020","2112.64"
"3/19/2020","2275.7"
"3/20/2020","2331.61"
"3/23/2020","2253.35"
"3/24/2020","2415.97"
"3/25/2020","2452.69"
"3/26/2020","2489.97"
"3/27/2020","2401.11"
"3/30/2020","2433.35"
"3/31/2020","2508.81"
"4/1/2020","2473.61"
"4/2/2020","2545.95"
"4/3/2020","2572.23"
"4/6/2020","2622.59"
"4/7/2020","2634.74"
"4/8/2020","2670.12"
"4/9/2020","2701.77"
"4/10/2020","2677.86"
"4/13/2020","2628.85"
"4/14/2020","2631.83"
"4/15/2020","2498.94"
"4/16/2020","2515.05"
"4/17/2020","2534.97"
"4/20/2020","2525.97"
"4/21/2020","2488.02"
"4/22/2020","2573.41"
"4/23/2020","2599.41"
"4/24/2020","2562.03"
"4/27/2020","2570.91"
"4/28/2020","2612.24"
"4/29/2020","2663.14"
"4/30/2020","2650.56"
"5/4/2020","2624.64"
"5/5/2020","2653.51"
"5/6/2020","2632.1"
"5/7/2020","2634"
"5/8/2020","2641.55"
"5/12/2020","2642.04"
"5/13/2020","2604.98"
"5/14/2020","2590.31"
"5/15/2020","2593.91"
"5/18/2020","2694.25"
"5/19/2020","2711.72"
"5/20/2020","2770.79"
"5/21/2020","2718.67"
"5/22/2020","2709.38"
"5/25/2020","2757.93"
"5/26/2020","2754.04"
"5/27/2020","2741.02"
"5/28/2020","2779.98"
"5/29/2020","2734.83"
"6/1/2020","2750.24"
"6/2/2020","2796.51"
"6/3/2020","2831.08"
"6/4/2020","2766.26"
"6/5/2020","2792.74"
"6/8/2020","2796.3"
"6/9/2020","2795.9"
"6/10/2020","2785.18"
"6/11/2020","2743.8"
"6/15/2020","2719.06"
"6/16/2020","2748.3"
"6/17/2020","2740.1"
"6/18/2020","2724.33"
"6/19/2020","2758.67"
"6/22/2020","2763.29"
"6/23/2020","2791.97"
"6/25/2020","2760.75"
"6/26/2020","2761.74"
"6/29/2020","2767.95"
"6/30/2020","2743.2"
"7/2/2020","2788.79"
"7/3/2020","2801.66"
"7/6/2020","2835.18"
"7/7/2020","2825.21"
"7/8/2020","2815.83"
"7/9/2020","2782.43"
"7/10/2020","2800.94"
"7/13/2020","2766.79"
"7/14/2020","2744.54"
"7/15/2020","2747.91"
"7/16/2020","2760.01"
"7/17/2020","2774.79"
"7/20/2020","2802.24"
"7/21/2020","2825.71"
"7/22/2020","2834.65"
"7/23/2020","2851.79"
"7/24/2020","2863.12"
"7/27/2020","2884.88"
"7/28/2020","2895.45"
"7/29/2020","2918.42"
"7/30/2020","2882.63"
"7/31/2020","2911.57"
"8/3/2020","2929.97"
"8/4/2020","2940.46"
"8/5/2020","2992.78"
"8/6/2020","2988.5"
"8/7/2020","2972.35"
"8/10/2020","2960.78"
"8/11/2020","3005.63"
"8/12/2020","3053.99"
"8/13/2020","3080.44"
"8/14/2020","3061.99"
"8/17/2020","3052.46"
"8/18/2020","3050.7"
"8/19/2020","3056.54"
"8/20/2020","2993.69"
"8/21/2020","2995.61"
"8/24/2020","3029.42"
"8/25/2020","3029.05"
"8/26/2020","3051.97"
"8/27/2020","3012.01"
